,productnaam,prijs
129,"seagate hdd 2.5"" 2tb st2000lm015 barracuda",67
130,kingston nv1 500gb m.2 ssd,65
131,samsung t7 500gb grijs externe ssd,72
132,crucial p5 plus 500gb m.2 ssd,74
133,"patriot memory p210 2.5"" 2000 gb sata iii ssd",104
134,pny cs1030 1tb m.2 ssd,61
135,"startech.com usb 3.0 naar 2,5 inch sata iii harde-schijfadapterkabel met uasp",17
136,synology diskstation ds420+ nas,495
137,wd black sn850x 1tb heatsink m.2 ssd,129
138,crucial bx500 480gb ssd,34
139,western digital blue wd10ezex 1tb,39
140,seagate firecuda 530 1tb heatsink m.2 ssd,164
141,samsung 870 evo 4tb ssd,439
142,"seagate hdd 2.5"" 5tb st5000lm000",259
143,samsung 980 250gb m.2 ssd,48
144,corsair force mp600 pro 1tb m.2 ssd,109
145,patriot memory p300 256gb pcie 3.0 m.2 ssd,23
146,crucial bx500 240gb ssd,26
147,"seagate hdd nas 3.5"" 16tb st16000ne000 ironwolf pro",389
148,synology device license 1x,47
149,act ac1605 usb-c m.2 sata en nvme ssd behuizing,44
150,"logilink ua0106 2,5"" sata behuizing usb",12
151,samsung t7 shield 1tb zwart externe ssd,112
152,"intenso top performance 2.5"" 128gb ssd",14
153,kingston fury renegade 4tb m.2 ssd,599
154,"seagate hdd nas 3.5"" 12tb st12000vn0008 ironwolf",299
155,msi spatium m480 2tb m.2 ssd,219
156,conceptronic emrick04b interfacekaart/-adapter m.2 intern,17
157,wd elements portable 1tb zwart,55
158,wd blue sa510 500gb sata ssd,42
159,"seagate hdd 2.5"" 4tb st4000lm024",113
160,samsung 970 evo plus 250gb m.2 ssd,62
161,western digital red plus wd20efzx 2tb,74
162,"seagate hdd 3.5"" 6tb st6000dm003 barracuda",129
163,"seagate hdd 3.5"" 8tb st8000dxa01 firecuda",199
164,synology diskstation ds120j nas,100
165,lc power lc-m2-c-nvme-multi m.2 ssd enclosure (nvme & sata),29
166,toshiba hdtb410ek3aa canvio basics 2 1tb zwart externe harde schijf,47
167,"seagate hdd nas 3.5"" 2tb st2000vn004 ironwolf",74
168,wd elements portable 4tb zwart,100
169,synology diskstation ds218play nas,219
170,crucial x6 1tb usb 3.1 gen 2 externe ssd,79
171,"seagate hdd nas 3.5"" 6tb st6000ne000 ironwolf pro",192
172,seagate firecuda 530 1tb m.2 ssd,124
173,intel 660p 1tb m.2 ssd,79
174,synology diskstation ds1522+ nas,795
175,western digital red pro wd4003ffbx 4tb,139
176,synology diskstation ds218 nas,269
177,samsung t7 shield 2tb zwart externe ssd,199
178,wd blue 2tb ssd,149
179,kingston fury renegade 2tb heatsink m.2 ssd,239
180,kingston nv1 1tb m.2 ssd,83
181,crucial p3 4tb m.2 ssd,359
182,"seagate hdd nas 3.5"" 14tb st14000ne0008 ironwolf pro",329
183,samsung t7 2tb grijs externe ssd,205
184,western digital red plus wd120efbx 12tb,289
